CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
OBERKASE|OBERKASE|05|OBERKASER SPRONS|BURGER STEPHAN|HASLACHSTRASSE, 68 A|DORF TIROL|BZ|39019|03075770218||01|N||
PALPEN03|PALPEN04|05|HOTEL ALPENHOF TIROL OHG|DES MARCH ANDREAS & RAUCH CHRISTA|HAUPTSTRASSE, 50|DORF TIROL|BZ|39019|02616790214||02|N||
PALPEN04|PALPEN04|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PBURGG02|PBURGG03|05|BURGGRÄFLER WEINSTUBE|HELLWEGER SILKE KG|HAUPTSTRASSE, 22|DORF TIROL|BZ|39019|02616790214||02|N||
PBURGG03|PBURGG03|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PFORCH01|PFORCH01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PFORCHER|PFORCH01|05|PENSION FORCHER - LAMPRECHT KG|KARIN LAMPRECHT & CO.|SEGENBUEHELSTRASSE, 14|DORF TIROL|BZ|39019|02616790214||02|N||
PFURGG01|PFURGG01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PFURGGER|PFURGG01|05|RESTAURANT FURGGERHOF|BAUER JOHANN & CO. KG|SCHLOSSWEG, 5|DORF TIROL|BZ|39019|02616790214||02|N||
PHASEL01|PHASEL01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PHASELRI|PHASEL01|05|HOTEL RESTAURANT HASELRIED|SCHNITZER THOMAS|SEMINARSTRASSE, 28|DORF TIROL|BZ|39019|02616790214||02|N||
PHERZG01|PHERZG01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PHERZGUT|PHERZG01|05|MG GMBH|GÖTSCH MARTIN|SCHLOSSWEG, 13|DORF TIROL|BZ|39019|02616790214||02|N||
PLEIME01|PLEIME01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PLEIMERH|PLEIME01|05|PENSION LEIMERHOF|DES TSCHURTSCHENTHALER ANTON|HAUTPSTRASSE, 20|DORF TIROL|BZ|39019|02616790214||02|N||
PMAIR|PMAIR01|05|HOTEL MAIR AM ORT KG|DER PRUENSTER ELISABETH|SCHLOSSWEG, 10|DORF TIROL|BZ|39019|02616790214||02|N||
PMAIR01|PMAIR01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PPANOR01|PPANOR01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PPANORAM|PPANOR01|05|PANORAMA|PANORAMA-SCHLECHT'N SEPPL GMBH|SEGENBÜHELWEG, 22|DORF TIROL|BZ|39019|02616790214||03|N||
PPATRI02|PPATRI03|05|CAFE' PATRIARCH KG|KOFLER MICHAEL & C.|HAUPTSTRASSE, 32|DORF TIROL|BZ|39019|02616790214||02|N||
PPATRI03|PPATRI03|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSANDG01|PSANDG01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSANDGRU|PSANDG01|05|SANDGRUBERHOF|PARTH WERNER|SCHLOSSWEG, 20|DORF TIROL|BZ|39019|02616790214||02|N||
PSCHLE01|PSCHLE01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSCHLECH|PSCHLE01|05|GÖTSCH PHILIP|PANORAMA-SCHLECHT'N SEPPL GMBH|HAUPTSTRASSE, 4|DORF TIROL|BZ|39019|02616790214||03|N||
PSCHLOO1|PSCHLOO1|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSCHLOSS|PSCHLOO1|05|GASTHAUS SCHLOSS TIROL KG|TSCHURTSCHENTHALER HELGA|SCHLOSSWEG, 25|DORF TIROL|BZ|39019|02616790214||01|N||
PSONNE06|PSONNE07|05|HOTEL RESTAURANT SONNE|STEFANIE GÖTSCH & C. KG|SCHLOSSWEG, 4|DORF TIROL|BZ|39019|02616790214||02|N||
PSONNE07|PSONNE07|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PTIROL|PTIROL01|05|HOTEL CAFE' EISDIELE TIROL|TSCHÖLL MANUELA & C. KG|TANZGASSE, 4|DORF TIROL|BZ|39019|02616790214||02|N||
PTIROL01|PTIROL01|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PTIROL04|PTIROL04|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 59|BOZEN|BZ|39100|02616790214||02|N||
PTRAUB02|PTRAUB03|05|HOTEL TRAUBENHEIM GMBH|FAM. JAEGER|SEGENBÜHELSTRASSE, 8|DORF TIROL|BZ|39019|02616790214||02|N||
PTRAUB03|PTRAUB03|05|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
SABINE|SABINE|05|EIS SABINE|D. RIER MAXIMILIAN|HAUPTSTRASSE, 23 G|DORF TIROL|BZ|39019|02902860218||01|N||
SEILBAHN|SEILBAHN|05|RESTAURANT SEILBAHN|PIRCHER ROBERT|HASLACHSTRAßE,64|DORF TIROL|BZ|39019|02524860216||01|N||
STANDL|STANDL|05|TIROLER STANDL|ROHRER ARMIN|HAUPTSTRASSE, 16/A|DORF TIROL|BZ|39019|02983790219||01|N||
STEINEGG|STEINEGG|05|GASTHAUS STEINEGG|PIRCHER STEFAN|MUTHÖFE, 10|DORF TIROL|BZ|39019|02832390211||01|N||
SUNSHI01|SUNSHI01|05|BAR CAFE SUNSHINE|D.HOFER MANUELA|HAUPTSTRASSE, 23/C|DORF TIROL|BZ|39019|02900860210||01|N||
TENNISBA|TENNISBA|05|BAR CAFE' TENNIS|PIXNER OSKAR|RUPRECHTWEG, 22|DORF TIROL|BZ|39019|02820020218||01|N||
TURMWIES|TURMWIES|05|HOTEL TURMWIES|PRANTL PETER & CO. KG|LINGWEG, 13|DORF TIROL|BZ|39019|03020380212||01|N||
