CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
LARCHENH|LARCHENH|04|HOTEL LÄRCHENHAIN KG|DES EGGER BENJAMIN & CO.|LANDSTRASSE, 59|ST. VALENTIN A. D. HAIDE|BZ|39027|03230200218||01|N||
MARTINSH|MARTINSH|04|ÖBPB MARTINSHEIM|SENIORENWOHNHEIM|BAHNHOFSTRASSE, 10|MALS|BZ|39024|01246360216|||N|03210|
MICHAEL|MICHAEL|04|SPORTHOTEL ST. MICHAEL|DER BLAAS SABINE|BURGEIS, 147|MALS|BZ|39024|01733670218||01|N||
MICHLWIR|MICHLWIR|04|GASTHAUS MICHLWIRT|BERNHARD HELLRIGL|TARSCH, 35|MALS|BZ|39024|02822140212||01|N||
MOHREN|MOHREN|04|HOTEL ZUM MOHREN OHG|FOLIE DIETMAR & SABINE & CO.|HAUPTSTRASSE, 30 FRAKT. RESCHEN|GRAUN IM VINSCHGAU|BZ|39027|03229400217||03|N||
MORIGGL|MORIGGL|04|DAS MORIGGL|DES MORIGGL JONAS|BURGEIS, 176|MALS|BZ|39024|02567720210||01|N||
OBERETTE|OBERETTE|04|AVS OBERETTESHÜTTE|KARIN & EDWIN HEINISCH|MATSCH, 30|MALS|BZ|39024|02656630213||01|N||
ORTLER06|ORTLER06|04|MEIN ORTLERBLICK|LECHTHALER MARC|ORTWEINSTRASSE, 25|MALS|BZ|39024|03043910219||01|N||
PALPEN07|PALPEN07|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PALPENRO|PALPEN07|04|HOTEL ALPENROSE VGMBH||HAUPTSTRASSE, 4|ST. VALENTIN A. D. HAIDE|BZ|39027|02616790214||02|N||
PANIGG01|PANIGG01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PANIGGLH|PANIGG01|04|ANIGGLHOF|D. PATSCHEIDER HELGA|SCHLINIG, 20|MALS|BZ|39024|02616790214||02|N||
PEDELW01|PEDELW01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PEDELWEI|PEDELW01|04|HOTEL EDELWEISS|RAFFEINER PETRA|HAUPTSTRASSE, 28|RESCHEN|BZ|39027|02616790214||02|N||
PKASTE01|PKASTE01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||01|N||
PKASTELL|PKASTE01|04|FERIENHOTEL KASTELLATZ|THÖNI MICHAEL|PRAEMAJUR, 51|MALS|BZ|39024|02616790214||01|N||
PKATRI01|PKATRI01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PKATRIN|PKATRI01|04|RESIDENCE KATRIN|THÖNI JOHANNES & C. KG|LANDSTRASSE, 57|ST. VALENTIN A.D. HAIDE|BZ|39020|02616790214||02|N||
PLANGGER|PLANGGER|04|PLANGGER MARKUS & CO. KG||LANGTAUFERERSTRASSE, 2|GRAUN IM VINSCHGAU|BZ|39027|01184850210||01|N||
PLANGT01|PLANGT01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||01|N||
PLANGTAU|PLANGT01|04|HOTEL LANGTAUFERERHOF|D. THÖNI MARTINA & C. KG|LANGTAUFERERSTRASSE - KAPPL, 3|LANGTAUFERS/GRAUN|BZ|39020|02616790214||01|N||
PLATZE01|PLATZE01|04|GARNI PLATZER|PLATZER BARBARA|BURGEIS, 182|MALS|BZ|39024|02503420214||01|N||
PMARAI01|PMARAI01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMARAIAS|PMARAI01|04|HOTEL MARAIAS|MARAIAS GMBH|BURGEIS, 140|MALS|BZ|39024|02616790214||02|N||
PMELAG01|PMELAG01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMELAGER|PMELAG01|04|MELAGER ALM|WALDNER MARKUS|MELAG|LANGTAUFERS|BZ|39027|02616790214||02|N||
PORTLE04|PORTLE04|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PORTLERS|PORTLE04|04|ORTLERSPITZ KG|DES LICATA BENNO & CO.|VIA VITTORIO VENETO, 15|ST. VALENTIN A.D. HEIDE|BZ|39020|02616790214||02|N||
PSTOCK01|PSTOCK01|04|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSTOCKER|PSTOCK01|04|VALENTIN KG STOCKER MARTINA & CO.|HOTEL STOCKER|HAUPTSTRASSE, 42|ST. VALENTIN A.D. HAIDE|BZ|39020|02616790214||02|N||
ROSSL|ROSSL|04|BURG-GASTHOF ZUM WEISSEN RÖSSL|PUNT URSULA & CO. KG|MERANERSTRASSE, 3|SCHLUDERNS|BZ|39020|02579120219||01|N||
RUNGG07|RUNGG07|04|BRESL GMBH||G.I. VERDROSS STRASSE, 12/B|MALS|BZ|39024|03088630219||01|N||
SCHLINIG|SCHLINIG|04|SCHLINIGERALM - MORIGGL VICTORIA||VIA BURGUSIO, 176 INT 1|BURGUSIO - MALLES VENOSTA|BZ|39024|03246940211||01|N||
SCHLOS02|SCHLOS02|04|SCHLOSSBAR KG BURGEIS|DES KUENRATH SEVERIN & CO.|BURGEIS 183|MALS|BZ|39024|02977250212||01|N||
SCHUST01|SCHUST01|04|SCHUSTER GMBH|FILIALE TARTSCH|HAUPTSTRASSE, 8|MALS/TARTSCH|BZ|39024|00638530212||03|N||
SCHWAR01|SCHWAR01|04|GASTHOF SCHWARZER ADLER KG|TRAFOIER DANIEL & CO.|RESCHEN ALTDORFSTR. 1|GRAUN VINSCHGAU|BZ|39027|02382020218||01|N||
SEEHOTEL|SEEHOTEL|04|SEEHOTEL GMBH||HAUPTSTRASSE, 19|GRAUN I. V.|BZ|39027|01238250219||03|N||
SENNEREI|SENNEREI|04|SENNEREI BURGEIS|GENOS. UND LANDWIRTSCHAFTLICHE GES.|BURGEIS, 77|MALS|BZ|39024|00125710210||01|N||
SESVENNA|SESVENNA|04|SESVENNAHÜTTE|MESSNER GEORR|MATSCHER WINKEL, 3|SCHLUDERNS|BZ|39020|03314320213||01|N||
SKIHAUS|SKIHAUS|04|SKIHAUS SCHÖNEBEN GMBH||RESCHEN, 21/B|GRAUN I. V.|BZ|39027|00473020212||03|N||
SPRENGER|SPRENGER|04|PENSION SPRENGER|DES WIEDENHOFER OTHMAR & CO KG|KIRCHGASSE, 10|ST.VALENTIN/GRAUN|BZ|39020|02911260210||01|N||
STECHE02|STECHE02|04|KAUFHAUS STECHER BRUNHILDE||MATSCH, 9|MALS|BZ|39024|03155280211||01|N||
TENDERSH|TENDERSH|04|TENDERSHOF|ANDREAS PRANTL|ALTDORFSTRASSE, 31|RESCHEN|BZ|39027|01676130212||01|N||
THEINER|THEINER|04|JOACHIM THEINER & CO.|LÖWENWIRT KG|BURGEIS, 46|MALS|BZ|39024|02726410216||01|N||
TOWER|TOWER|04|TOWER IMBISS|STROBL GABRIEL|BURGEIS, 139|MALS|BZ|39024|03035130214||01|N||
UINA|UINA|04|BAR UINA|ZIERNHELD CLAUDIA|SCHLINIG, 43|MALS|BZ|39024|01214400218||01|N||
WATLES01|WATLES01|04|AUFSTIEGSANLAGEN REST.|TOURISTIK & FREIZEIT GMBH|VIA ST. BENEDIKT, 1|MALS|BZ|39024|00155580210||01|N||
WEINHOF|WEINHOF|04|WEINHOF|KOFLER FRANZ TRANS KG|VINSCHGAUERSTRASSE, 4 A|SCHLUDERNS|BZ|39020|02933360212||01|N||
WEISSKUG|WEISSKUG|04|GASTHOF WEISSKUGEL MATSCH|MASIERO FRANCESCA|VIA ALDO MORO, 35|SALORNO|BZ|39040|03084380215||01|N||
ZUMSEE|ZUMSEE|04|ZUM SEE GMBH||KIRCHGASSE, 26|ST. VALENTIN A.D.H.|BZ|39027|03186610212||01|N||
