CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
HWIESE01|HWIESE01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HWIESENH|HWIESE01|08|HOTEL WIESENHOF GMBH|FAM. SCHROTTER|J. WEINGARTNERSTR. 16|ALGUND|BZ|39022|01342330212||03|N||
KIENZL01|KIENZL01|08|KIENZL KG|KIENZL HINTEREGGER A.& CO.|ALTE LANDSTRASSE,38|ALGUND|BZ|39022|01047360217||03|N||
LADURN|LADURN|08|PIZZERIA LADURN|LADURNER MARKUS|NORDERSTRASSE, 21|MARLING|BZ|39020|02622580211||01|N||
LANDESFE|LANDESFE|08|LANDESFEUERWEHRSCHULE|SUDTIROL|BRAUEREISTRASSE, 18|VILPIAN|BZ|39010|01341170213|||N|02200|
LICHTENB|LICHTENB|08|BILDUNGSHAUS LICHTENBURG|STIFTUNG ST. ELISABETH|VILPIANERSTRASSE, 27|NALS|BZ|39010|02651810216||01|N||
LIDONALS|LIDONA01|08|SPORT BAR LIDO  NALS|GASSER FLORIAN|GOLDGASSE, 4|NALS|BZ|39010|02911690218||01|N||
MAIR01|MAIR01|08|METZGEREI & FEINKOST MAIR|DES HANNES MAIR & CO. KG|HAUPTSTRASSE, 9|TERLAN|BZ|39018|01069720215||01|N||
MEBO|MEBO|08|MEBO STOP & GO|BRUNNER STEFAN & CO. KG|NALSERSTRASSE, 28|VILPIAN/TERLAN|BZ|39018|02606240212||01|N||
MEINBE03|MEINBE04|08|FILIALE NALS MEIN BECK GMBH||WEINSTRASSE, 41|NALS|BZ|39010|02742930213||01|N||
MEINBE04|MEINBE04|08|MEIN BECK GMBH||ZOLLSTRASSE, 5|NALS|BZ|39010|02742930213||01|N||
MEINBE05|MEINBE05|08|MEIN BECK INVEST KG OGGL MANFRED|& CO. - MITARBEITERKUCHE|WEINSTRASSE, 41|NALS|BZ|39010|01710570217||01|N||
MEINBECK|MEINBECK|08|BACKEREI MEIN BECK|OGGL MANFRED & CO. KG|ZOLLSTRASSE, 5|NALS|BZ|39010|01710570217||01|N||
MENZ|MENZ|08|CENTER MARKET|DES FELIX LANPACHER|KIRCHPLATZ,2|MARLING|BZ|39020|03180920211||01|N||
NATURBAR|NATURBAR|08|NATURBAR TENNIS|GUERCIO ORIETTA|BAHNHOFSTRASSE, 35|GARGAZON|BZ|39010|02704710215||01|N||
NIGG|NIGG|08|METZGEREI NIGG STEFAN & CO. KG||KARL ATZ PLATZ, 3|TERLAN|BZ|39018|01190050219||01|N||
ORCHIDEA|ORCHIDEA|08|ORCHIDEA|DER EGGER RENATE|REICHSTRASSE, 26|GARGAZON|BZ|39010|02910470216||01|N||
PALLWEBE|PALLWEBE|08|PALLWEBER GMBH||GOLDGASSE, 2|NALS|BZ|39010|00538210212||01|N||
PAPOLL01|PAPOLL01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PAPOLLON|PAPOLL01|08|APOLLONIA KG|GEISER THOMAS & CO.|ST. APOLLONIAWEG, 3|NALS SIRMIAN|BZ|39010|02616790214||02|N||
PFOSTL|PFOSTL|08|METZGEREI VON PFOSTL|DES FLORIAN PIRCHER|ALTE LANDSTRASSE, 33 A|ALGUND|BZ|39022|03183690217||01|N||
PFOSTLST|PFOSTLST|08|PFOSTLSTUBE|DANIEL CREPAZ|ALTE LANDSTRASSE, 33 A|ALGUND|BZ|39022|03017430210||01|N||
PJAGER|PJAGER03|08|GASTHOF JAGER|MAIR ANGELIKA|ST. APOLLONIA, 5|OBERSIRMIAN-NALS|BZ|39010|02616790214||02|N||
PJAGER03|PJAGER03|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMEHRH01|PMEHRH01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMEHRHAU|PMEHRH01|08|HOTEL MEHRHAUSER|MEHRHAUSER GERDA|GOLDGASSE, 16|NALS|BZ|39010|02616790214||02|N||
PNALSE01|PNALSE01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PNALSERH|PNALSE01|08|HOTEL NALSERHOF GMBH||GOLDGASSE, 6|NALS|BZ|39010|02616790214||02|N||
PPUNTH01|PPUNTH01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PPUNTHOF|PPUNTH01|08|ANSITZ PUENTHOF|DES WOLF ALEX|STEINACHSTR. 25|ALGUND|BZ|39022|02616790214||02|N||
PSANDL01|PSANDL01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSANDLST|PSANDL01|08|SANDLSTUEBELE|DES WINDEGGER THOMAS & CO. KG|ST. VIGILSTRASSE, 7|NALS|BZ|39010|02616790214||02|N||
PSENNE07|PSENNE08|08|BACKEREI KONDITOREI TERLAN||DR. WEISER PLATZ, 7|TERLAN|BZ|39027|00740950217||01|N||
PSENNE08|PSENNE08|08|BACKEREI KONDITOREI PSENNER GMBH||HAUPTSTRASSE, 63|NATURNS|BZ|39025|00740950217||01|N||
PSONNE05|PSONNE05|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSONNENH|PSONNE05|08|HOTEL SONNENHOF|D. HELLRIGL WOLFGANG|ANSELM-PATTIS STRASSE, 13|MARLING|BZ|39020|02616790214||02|N||
PVILPI01|PVILPI01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PVILPIAN|PVILPI01|08|VILPIANERHOF|ELISABETH VISINTAINER & CO. KG|NALSERSTRASSE, 12|TERLAN|BZ|39018|02616790214||02|N||
PWALDS01|PWALDS01|08|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PWALDSCH|PWALDS01|08|HOTEL GASTHOF WALDSCHENKE|WINKLER ALOIS|ST. FELIXWEG, 11|MARLING|BZ|39020|02616790214||02|N||
ROSEMARI|ROSEMARI|08|GASTHOF ROSEMARIE|KUNTNER CHRISTOF & CO.KG|GAMPENSTR. 57|MARLING|BZ|39020|02784060218||01|N||
SCHWAR08|SCHWAR08|08|SCHWARZ THOMAS||ROMSTRASSE, 12|GARGAZON|BZ|39010|01717240210||01|N||
SENNAMEG|SENNAMEG|08|GASTHAUS SENN AM EGG|GUFLER MICHAEL|ST. FELIXWEG, 21|MARLING|BZ|39020|02619940212||01|N||
STACHE01|STACHE01|08|ANSITZ STACHELBURG|D.ELFRIEDE & MARLENE DALLACORTE OHG|PRISSIANERSTRASSE, 2|NALS|BZ|39010|00715010211||01|N||
STEINA01|STEINA01|08|CAFE' KONDITOREI STEINACH|PRANTL HARALD & CO. KG|STEINACHSTRASSE, 35|ALGUND|BZ|39022|03097940211||03|N||
THURNERG|THURNERG|08|HOTEL THURNERGUT KG|DES PIRCHER MANFRED & CO.|GNAIDWEG, 19|DORF TIROL|BZ|39019|02215460219||01|N||
TRAUBE|TRAUBE|08|TRAUBENWIRT MARLING SRLS||FRANZ INNERHOFERSTRASSE, 2|MARLING|BZ|39020|03055970218||03|N|00500|
UNTERGAN|UNTERGAN|08|UNTERGANDLKELLER|SIEGFRIED STOCKER & CO.KG|BRAUHAUSSTRASSE,21|ALGUND/FORST|BZ|39022|00605240217||01|N||
