CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
KINDER62|EMPORI62|03|DEUTSCHER KINDERGARTEN|GEMEINDE SCHLANDERS 504108|KARL SCHÖNHERR STR. 21|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KINDER63|EMPORI63|03|ITALIENISCHER KINDERGARTEN|GEMEINDE SCHLANDERS 505108|HAUPTSTRASSE, 142|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KINDER64|EMPORI64|03|DEUTSCHER KINDERGARTEN SOMMERKG|MARKTGEMEINDE SCHLANDERS|KARL SCHÖNHERR STR. 21|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KINDER65|EMPORI65|03|ITALIENISCHER KINDERGARTEN SOMMERKG|MARKTGEMEINDE SCHLANDERS|HAUPTSTRASSE, 142|SCHLANDERS|BZ|39028|02607440217|||N|02280|
KNOFELKE|KNOFELKE|03|JAUSENSTATION KNOFELKELLER KG|DER MÜLLER CLAUDIA & CO. KG|ST. MEDARDUSWEG, 34|TARSCH BEI LATSCH|BZ|39021|02714570211||01|N||
KOCHENMO|KOCHENMO|03|BAD KOCHENMOOS|KOSTADINOVSKI GOGE|STABEN, 3|NATURNS|BZ|39025|02642830216||01|N||
KONSUMVE|KONSUMVE|03|KONSUMGENOSSENSCHAFT|LAAS GEN.M.B.H.|VINSCHGAUERSTRASSE, 49|LAAS|BZ|39023|00121880215||03|N||
KRONE02|KRONE02|03|GASTHAUS KRONE - HAUSER|ELISABETH & GEICK ENRICO OHG|FELIUSSTRASSE, 64|LAAS|BZ|39023|02792300218||01|N||
KUPPELRA|KUPPELRA|03|GASTHOF KUPPELRAIN KG|SONIA EGGER & JÖRG TRAFOIER|BAHNHOFSTRASSE, 16|KASTELBELL|BZ|39020|01299540219||01|N||
LATSCH01|LATSCH01|03|LATSCHER ALM|HOLZKNECHT JESSICA|VALTNEIDWEG, 140|LATSCH|BZ|39021|03209570211||01|N||
LATSCH03|LATSCH03|03|LATSCHER SKICENTER SRL|||LATSCH|BZ|39021|00205430218||01|N||
LATSCHER|LATSCHER|03|LATSCHERHOF OHG|DES KIEM WERNER & CO.|LATSCH|LATSCH|BZ|39021|01395790213||01|N|00700|
LAURIN|LAURIN|03|GASTHAUS LAURIN|HEINZ BERNHART|VINSCHGAUERSTRASSE,7|GOLDRAIN|BZ|39020|01256070218||01|N||
LAVENOST|LAVENOST|03|LA VENOSTANA|D. LAIMER VALENTIN|GÖFLANERSTRASSE, 18|SCHLANDERS|BZ|39028|00768400210||01|N||
LEGGERI|LEGGERI|03|METZGEREI LEGGERI|KURT & ROBERT OHG|HAUPTSTRASSE, 109|SCHLANDERS|BZ|39028|01410380214||01|N||
MARKTG01|MARKTG01|03|KINDERGARTEN GOLDRAIN|MARKTGEM.LATSCH|HAUPTPLATZ, 6|LATSCH|BZ|39021|00396990210||01|N||
MARTIN01|MARTIN01|03|HOTEL REST. MARIA THERESIA|D. TAPPEINER N. & CO. KG|STAATSSTRASSE, 15|SCHLANDERS|BZ|39028|01498160215||01|N||
MATHILDA|MATHILDA|03|RESIDENCE MATHILDA|FAM. TSCHENETT|DORFSTRASSE, 14 VETZAN|SCHLANDERS|BZ|39028|00373470210||01|N||
ORTLER02|ORTLER02|03|GELATERIA ORTLER|ROSMARIE FERLITO|VIA COVELANO, 13|SILANDRO|BZ|39028|03063430213||01|N||
PANORA01|PANORA01|03|GENUSSHOTEL PANORAMA|DER RAFFEINER JASMINE|ALTE STRAßE 18|KASTELBELL-TSCHARS|BZ|39020|02853830210||01|N||
PBAMBO01|PBAMBO01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PBAMBOO|PBAMBO01|03|BAMBOO KG|STRICKER SANDRA & C.|SCHANZENSTRASSE, 5|GOLDRAIN|BZ|39021|02616790214||02|N||
PBAR|PBAR01|03|HOTEL VERMOI KG CAMPING BAR|D. RINNER THOMAS & CO.|REICHSTRASSE, 4|LATSCH|BZ|39021|02616790214||02|N||
PBAR01|PBAR01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PBIERK01|PBIERK01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PBIERKEL|PBIERK01|03|BIERKELLER LATSCH|ANTON RINNER & CO. KG|VALTNEIDWEG, 2|LATSCH|BZ|39021|02616790214||02|N||
PGESCH01|PGESCH01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGESCHAF|PGESCH01|03|HOTEL VERMOI KG GESCHÄFT CAMPING|D. RINNER THOMAS & CO.|REICHSTRASSE, 4|LATSCH|BZ|39021|02616790214||02|N||
PGOLDE04|PGOLDE05|03|HOTEL GOLDENER LÖWE|MARKUS WIESER & CO.KG|DANTESTRASSE, 6|SCHLANDERS|BZ|39020|02616790214||02|N||
PGOLDE05|PGOLDE05|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMARTI01|PMARTI01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMARTIN|PMARTI01|03|PENSION MARTIN|MARTIN KG ROBERT MARTIN &CO.KG|HOFERGASSE, 14 - MORTER|LATSCH|BZ|39021|02616790214||02|N||
PMONTA02|PMONTA03|03|RESIDENCE MONTANI GMBH|FUCHS KAROLINE|PLAFATWEG, 14-16|LATSCH|BZ|39021|02616790214||02|N||
PMONTA03|PMONTA03|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PSENNE03|PSENNE04|03|BÄCKEREI KONDITOREI LATSCH||HAUPTSTRASSE, 47/A|LATSCH|BZ|39025|00740950217||01|N||
PSENNE04|PSENNE04|03|BÄCKEREI KONDITOREI PSENNER GMBH||HAUPTSTRASSE, 63|NATURNS|BZ|39025|00740950217||01|N||
PSENNE05|PSENNE06|03|BÄCKEREI KONDITOREI SCHLANDERS||HAUPTSTRASSE, 96|SCHLANDERS|BZ|39028|00740950217||01|N||
PSENNE06|PSENNE06|03|BÄCKEREI KONDITOREI PSENNER GMBH||HAUPTSTRASSE, 63|NATURNS|BZ|39025|00740950217||01|N||
PTANJA|PTANJA01|03|HOTEL TANJA|TAPPEINER JOHANN & CO. KG|HAUPTSTRASSE, 84|LATSCH|BZ|39021|02616790214||02|N||
PTANJA01|PTANJA01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PVERMO01|PVERMO01|03|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PVERMOI|PVERMO01|03|HOTEL CAMPING LATSCH KG|D. RINNER THOMAS|REICHSTRASSE, 4|LATSCH|BZ|39021|02616790214||02|N||
RATHAUS|RATHAUS|03|RATHAUSCAFE LATSCH|KASERER MARTIN|TENO TANZER STRASSE, 5|LATSCH|BZ|39021|02408290217||01|N||
RUNGG02|RUNGG03|03|FRISCHEZENTER RUNGG SCHLANDERS||VIA NAZIONALE, 7|SCHLANDERS|BZ|39028|00738950211||01|N||
RUNGG03|RUNGG03|03|MARKET RUNGG GMBH||HAUPTSTRASSE, 71|PRAD AM STILFSERJOCH|BZ|39026|00738950211||01|N||
SCHULA03|EMPORISC|03|SCHULMENSA MARKTGEMEINDE SCHLANDERS|503108|GERICHTSSTRASSE, 9|SCHLANDERS|BZ|39028|02607440217|||N|02280|
SCHWAR02|SCHWAR02|03|GASTH.PIZZ SCHWARZ.ADLER|D. SACHSALBER PETER|KORTSCH, 69|SCHLANDERS|BZ|39029|02317640213||01|N||
SEE|SEE|03|GASTHOF ZUM SEE|FLEISCHMANN MARCEL CO. KG|HINTERMARTELL, 207|MARTELL|BZ|39020|02359360217||01|N||
SILVIO|SILVIO01|03|WOLF SILVIO||WEIHERWEG, 6|LATSCH|BZ|39021|03172900213||01|N||
SILVIO01|SILVIO01|03|WOLF  SILVIO||DR. HEINRICH VOEGEL STR. 19 B INT 5|SCHLANDERS|BZ|39028|03172900213||01|N||
SOY|SOY|03|SOY ALM|KAUFMANN JOSEF|SCHLOSSWEG, 25|TIROL|BZ|39019|02670590211||01|N||
SPECKEGG|SPECKEGG|03|SAILER D. WALDER M. & CO KG|SPECKEGGELE / BAR CREMONA|HAUPTSTRASSE, 48|SCHLANDERS|BZ|39028|00738460211||01|N||
STAINER|STAINER|03|CAFE STAINER|DES LUDVIK ODSTRCILIK|DR. HEINRICH VÖGELE STRASSE, 14|SCHLANDERS|BZ|39028|02716250218||01|N||
TERRA|TERRA|03|RESTAURANT TERRA||ALTE STRASSE 21/A|KASTELBELL|BZ|39020|03210460212||01|N||
TSCHENGL|TSCHENGL|03|TSCHENGLSER LADELE|DER KONSUMGEN. LAAS GEN.M.B.H.|VINSCHGAUERSTRASSE, 49|LAAS|BZ|39023|00121880215||03|N||
VINSCHGE|VINSCHGE|03|ZONETREFF KG|SCHWIENBACHER ANDREAS & CO.|INDUSTRIEZONE, 51|LAAS|BZ|39023|02365060215||01|N||
VINZEN01|VINZEN01|03|SOZIALGENOSSENSCHAFT LOLA||BAHNHOFSTRASSE, 39|MALS|BZ|39024|03042080212||03|N|00500|
VINZENZH|VINZEN01|03|VINZENZHEIM SCHLANDERS||SCHLANDERSBURGSTRASSE, 1|SCHLANDERS|BZ|39028|03042080212||03|N|00500|
WURSTLST|WURSTLST|03|SCHLANDERSER WÜRSTLSTANDL|MALFERTHEINER RENATE|MARTIN TEIMER STRASSE, 22/A|SCHLANDERS|BZ|39028|02731140212||01|N||
