CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
BRUNJAUN|BRUNJAUN|00|BRUNJAUNHOF|KROLL JOSEF|PICHLERSTRASSE, 18|SCHENNA|BZ|39017|01204410219||01|N||
BRUNNENP|BRUNNENP|00|REST.BRUNNENPLATZ GMBH||DANTESTR,2|MERAN|BZ|39012|01101630216||01|N||
BUBI|BUBI|00|G.A.BUBI CALCETTO||PIAZZA TEATRO,15|MERANO|BZ|39012|00701300212|1|01|N||
BUFFET|BUFFET|00|BAR BUFFET STAZIONE SAS|DI MENGON ILLUMINATA & C.|VIA SIEGMUND SCHWARZ, 8|VILPIANO|BZ|39010|00685340218|1|01|N||
BURGER03|BURGER03|00|MUSIKKAPELLE TSCHERMS|OBMANN KIEM GUNTHER|GAMPENSTRASSE, 27|TSCHERMS|BZ|39010|91001910214||01|N||
BURGER05|BURGER05|00|MUSIKKAPELLE MARLING|Z.H. HOLZL THOMAS|LEBENBERGERSTRASSE, 7|MARLING|BZ|39020|91001110211||01|N||
BURGERKA|BURGERKA|00|BURGERKAPELLE OBERMAIS|JUGENDCAMP 2016|BRUNNENPLATZ,26|MERAN|BZ|39012|82007650219||01|N||
BURGGR02|BURGGR02|00|BURGGRAFLER KELLEREI||GAMPENSTRASSE, 64|MARLING|BZ|39020|00126570217||01|N||
BURGUND|BURGUND|00|HOTEL BURGUND|BRUNNER ROSMARIE & CO. KG|AICHWEG, 29|DORF TIROL|BZ|39019|00746050210||01|N||
BWSW|BWSW|00|BWSW ITALIEN GMBH||DANTE ALIGHIERISTR. 110|MERAN|BZ|39012|02816870212||01|N||
CAGOL|CAGOL|00|TRENTO ORTOFRUTTA|DI CAGOL FABRIZIO|CASTEL DI PIETRAPIANA, 17|POVO|TN|38050|00868900226|1|01|N||
CAI|CAI|00|C.A.I.||VIA KARL WOLF, 15|MERANO|BZ|39012|00555310218|1|01|N||
CALLOVIN|CALLOV01|00|PREISS KG D. F. FUX GMBH||PURENWEG, 6|TIROL|BZ|39019|02778320214||01|N||
CAMPIN02|CAMPIN02|00|CAMPING VOLLAN|HOLZNER ELMAR & CO.KG|ZEHENTWEG,6|VOLLAN|BZ|39011|01192480216||01|N||
CAMT|CAMT|00|C.A.M.T. SAS|DI C.CAMPITIELLO & C.|VIA FIORAVANTI, 22|BOLOGNA|BO|40129|00552970378|1|01|N||
CARABI02|CARABI02|00|REG. CARABINIERI TRENT.AA|STAZIONE DI MERANO|VIA PETRARCA, 22|MERANO|BZ|39012|80007080213|1|01|N||
CARLEVAR|CARLEVAR|00|CARLEVARI SRL||VIA MONTEGROTTO, 70|TORREGLIA|PD|35038|00418000287|1|01|N||
CATERI01|CATERI01|00|SE. RI. CATERING SRL|MENSA COSSI VIA PER NATURNO|VIA VOLTA, 16|COLOGNO MONZESE|MI|20093|00893360966|1|01|N||
CATERING|CATERING|00|SE. RI. CATERING SRL||VIA VOLTA, 16|COLOGNO MONZESE|MI|20093|00893360966|1|01|N||
CENTROSC|CENTROSC|00|BAR CENTRO SCOLASTICO|VEIT ANNA|VIA KARL WOLF,38|MERANO|BZ|39012|01449320215|1|01|N||
CGIL|CGIL|00|AGB CGIL||OTTO HUBERSTR. 54|MERAN|BZ|39012|82011090212|1|01|N||
CHOR|CHOR|00|CHOR U.KONZERTVEREIN||ALPINISTRASSE|MERAN|BZ|39012|91020830211||01|N||
CHRIST02|CHRIST02|00|HOTEL CHRISTIAN EURO ASIA|PUNJAB SRL|VIA MERANO, 12|VILPIANO|BZ||02304660216|1|01|N||
CINCELLI|CINCELLI|00|F.LLI CINCELLI SNC|DI GINO E DARIO|VIA ROMA, 5|POZZA DI FASSA|TN|38036|00355130220|1|01|N||
COMITATO|COMITATO|00|COMITATO ORGANIZZATORE|CONC. IPPICI MERANO MAIA|VIA SCUDERIE, 37|MERANO|BZ|39012|02294750217|1|01|N||
COMPLOY|COMPLOY|00|COMPLOJ'S WOHNWELT OHG||GAMPENSTRASSE, 31|TSCHERMS|BZ|39100|00887550218||01|N||
COMUNE|COMUNE|00|COMUNE DI MERANO|FESTA DELLO SPORT|VIA PORTICI, 192|MERANO|BZ|39012|00394920219|1||N||
COMUNE01|COMUNE01|00|COMUNE DI MERANO PROV. BZ|UFFICIO DECENTRAMENTO|VIA PORTICI, 192|MERANO|BZ|39012|00394920219|1|01|N||
CONCORDI|CONCORDI|00|CORO CONCORDIA|RINFRESCO DOPO RASSEGNA|VIA VIGNETI, 3|MERANO|BZ|39012|82010590212||01|N||
COSSI|COSSI|00|COSSI COSTRUZIONI SPA||P.ZA GARIBALDI, 9|SONDRIO|SO|23100|00617100144||01|N||
COSTANTI|COSTANTI|00|GELATERIA COSTANTIN|PRA LEVIS ERIC|PASS. LUNGO PASSIRIO, 54|MERANO|BZ|39012|02938920218|1|01|N||
CRAL01|CRAL01|00|CRAL USL OVEST|SIG. MICHELI SANDRO|VIA KARL WOLF, 46|MERANO|BZ|39012|01200290219|1|01|N||
CREMECAR|CREMECAR|00|BAR CREME CARAMEL|PRANTL MARKUS|LAUBENGASSE, 255|MERAN|BZ|39012|02279180216||01|N||
CURTI|CURTI|00|CURTI ANTONIA IN FACCHINI||VIA MAINARDO, 17|MERANO|BZ|39012|01075070217|1|01|N||
DANCING|DANCING|00|DANCING NEW VIVA||NEIFWEG, 35|MERAN|BZ|39012|01756330211||01|N||
DECALL|DECALL|00|MODE DECALL|STELZER ALEXANDRA|L.-ZUEGG-STRASSE, 72|MERAN|BZ|39012|01431340213||01|N||
DEUTSCHE|DEUTSCHE|00|DEUT.U.LADIN.BERUBSBILD.ABT.20|EROFFNUNG DER AUSSTELLUNG|-DIE BRAUNE FALLE- SCHULPROJEKT|DANTESTR. 11 - BOZEN|BZ|39100|00390090215||01|N||
DOMINO|DOMINO|00|BAR DOMINO|WIESER INGEBORG|O.HUBERSTRASSE, 38|MERAN|BZ|39012|01480240215||01|N||
DORNACH|DORNACH|00|GARNI DORNACH|DER ALBER MONIKA|SCHENNASTRASSE, 39|SCHENNA|BZ|39017|01704040219||01|N||
DREIKREU|DREIKREU|00|HOTEL DREI KREUZ|TAPPEINER K.|KORTSCH NR. 170|SCHLANDERS|BZ|39028|00043950211||01|N||
ECONOMAT|GEMEIN35|00|MENSA SCOLASTICA TOTI|UFFICIO ECONOMATO|VIA MONTE TESSA, 14/C MERANO|CIG: Z9001E8202|BZ|39012|00394920219|1||N|01650|
EDEN|EDEN|00|ALTENHEIM EDEN SOZ. GEN.||CHRISTOMANNOSSTRASSE, 12|MERAN|BZ|39012|00414670216||01|N||
EDEN01|EDEN01|00|HOTEL VILLA EDEN|TOURINVEST SRL|VIA WINKEL, 70|MERANO|BZ|39012|01045130216|1|03|N||
EDOLO|EDOLO|00|18 REGGIMENTO EDOLO|CIRC.UNIFICATO DI PRESIDIO|VIA MAINARDO, 132|MERANO|BZ|39012|82009830215|1|01|N||
EGGER01|EGGER01|00|EGGER ALOISIA KG|HANDLUNG|ST.NIKOLAUS, 103|ULTEN|BZ|39010|01408520219||01|N||
EISHOCKE|EISHOCKE|00|ORGANISATIONSKOMITEE|EISHOCKEYWELTMEISTERSCH. U18|GAMPENSTRASSE,74|MERAN|BZ|39012|02472440219||01|N||
ELENA|ELENA|00|BAR ELENA||VIA MONASTERO, 19|MERANO|BZ|39012||1|01|N||
ELTERN|ELTERN|00|ELTERN KIND ZENTRUM||LAUBEN, 246|MERAN|BZ|39012|91007570210||01|N||
ENZIAN01|ENZIAN01|00|RESTAURANT ENZIAN|LADURNER IN WEGER ROSA|ST. FELIX, 28|MARLING|BZ|39020|00822680211||01|N||
ERLENHEI|ERLENHEI|00|REST.BAR PIZZ.ERLENHEIM|THEINER CHRISTINE|FLORASTRASSE, 39|GLURNS|BZ|39020|01479850214||01|N||
EROS|EROS|00|CAFE' SNACK'S EROS|ARDUINI EROS|PASSEGGIATA D'INVERNO|MERANO|BZ|39012|00741930218|1|01|N||
ERWIN|ERWIN|00|ERWIN'S FRISCHTEIGWAREN OHG|DES ZOGGELER WERNER & LUKAS|MATTEOTTISTRASSE,29|MERAN|BZ|39012|02818990216||01|N||
ESTATE|GEMEIN38|00|GEMEINDE MERAN|SOMMERINITIATIVEN 2010|TEXELSTRASSE, 14|MERAN|BZ|39012|00394920219|||N|01650|
EUROCATE|EUROCATE|00|EUROCATERING SRL|CANTIERE NATURNO|VIA CANTU' 23|CINISELLO BALSAMO|MI|20092|00852350966|1|01|N||
EUROPA|EUROPA|00|CAFE' EUROPA STELVIO SAS|DER TOMASI KLAUDIA|FREIHEITSSTRASSE, 176|MERAN|BZ|39012|01441600218||01|N||
EVANGELI|EVANGELI|00|EVANGELISCHER FRAUENVER.||IFINGERSTRASSE, 10|MERAN|BZ|39012|00191460211||01|N||
EXCLUS01|EXCLUS01|00|EXCLUSIV|E. MARCHEGGER & CO. KG|MERANERSTRASSE, 52|LANA|BZ|39011|00691910210||01|N||
EXCLUSIV|EXCLUSIV|00|CAFE EXCLUSIV|STROBL HALLER MARIA|LAUBEN, 174|MERAN|BZ|39012|01266240215||01|N||
FACCO|FACCO|00|FACCO GIANFRANCO||CORSO STATI UNITI 11|PADOVA|PD|35100|01316140282||01|N||
FACHSCHU|FACHSCHU|00|FACHSCHULE HAUSWIRTSCHAFT ERNAHRUNG|HASLACH,NEUMARKT SITZ IN BOZEN|ANGELA NIKOLETTI PLATZ, 14|BOZEN|BZ|39100|02942740214||01|N||
FAHLBURG|FAHLBURG|00|SCHLOSS FAHLBURG|JAKOB BRANDIS|PRISSIAN, 83|TISENS|BZ|39010|00514500214||01|N||
FEIGENST|FEIGENST|00|REST. FEIGENSTAUDER|WENIN GARBER HILDEGARD|ST. KASSIANWEG, 40|ALGUND|BZ|39022|01517230213||01|N||
FELDERER|FELDERER|00|HOTEL REST. FELDERERHOF|GROSS JOHANN|GAMPENSTRASSE, 41|TSCHERMS|BZ|39010|01116290212||01|N||
FELLER|FELLER|00|FELLER LORENZO & CO. SNC||LOC. NAVENE|MALCESINE|VR|37018|01653200210|1|01|N||
FEUERW01|FEUERW01|00|FREIW. FEUERWEHR OBERMAIS|HERBERT TORGGLER|VERGILSTRASSE, 4|MERAN|BZ|39012|91006270218||01|N||
FEUERW03|FEUERW03|00|FREIW.FEUERWEHR MARLING||F.INNERHOFERSTR.1/1|MARLING|BZ|39020|91008050212||01|N||
FEUERW07|FEUERW07|00|FREIWILLIGE FEUERWEHR|UNSERE LIEBE FRAU IM WALDE|LOKALITAT MALGASOTT 37|UNSERE LB. FRAU WALDE|BZ|39010|91010410214||01|N||
FEUERW08|FEUERW08|00|FREIWILLIGE FEUERWEHR ZENOBERG||ZENOBERGSTRASSE|MERAN|BZ|39012|91011640215||01|N||
FEUERW09|FEUERW09|00|FREIWILLIGE FEUERWEHR UNTERMAIS||ST. FLORIANSTRASSE, 13|MERAN|BZ|39012|82009860212||01|N||
FEUERW10|FEUERW10|00|FREIWILLIGE FEUERWEHR GRISSIAN||FEUERWEHRHALLE GRISSIAN 7/A|GRISSIAN|BZ|39010|91006850217||01|N||
FINANZKO|FINANZKO|00|FINANZKONTOR KG|DES DR. JOHANN WORNHART|SERVICE CENTER MAIS|GAMPENSTR,99 E/F MERAN|BZ|39012|02265000212||01|N||
FINCONTR|FINCONTR|00|FINCONTROL SPA||VIA F. SFORZA, 2|MILANO|MI|20122|05980960156|1|01|N||
FITNESS|FITNESS|00|EURO FITNESS||SINICH BACH STRASSE,82|SINICH/MERAN|BZ|39012|01690430218||01|N||
FKINDE15|FGEMEI15|00|SCUOLA MATERNA FROBEL|SOMMERINITIATIVEN 2102|CORSO LIBERTA', 127|MERANO|BZ|39012|00394920219|1||N|01650|
FKINDE17|FGEMEI17|00|KINDERKRIPPE MADDALENA DI CAN.|SOMMERINITIATIVEN 2012|MAIASTRASSE, 1/A|MERAN|BZ|39012|00394920219|||N|01650|
FLAIM|FLAIM|00|FLAIM BRUNO|PHOTOSTUDIO|SCHLACHTHOFSTRASSE, 61|BOZEN|BZ|39100|00168720217||01|N||
FLORA01|FLORA01|00|CAFE FLORA|REINSTADLER M. & CO. KG|BOZNERSTRASSE, 2|LANA|BZ|39011|01710690213||01|N||
FMENSASC|FGEMEI33|00|MENSA SCOLASTICA TOTI|INIZIATIVE ESTIVE 2012|VIA MONTE TESSA, 14/C|MERANO|BZ|39012|00394920219|1||N|01650|
FONDO|FONDO|00|FONDO ASSIST. PERS. PS|CENTRO MONTANO PS|TRAFOI|TRAFOI|BZ|39020|02131841005|1|01|N||
FORD|FORD|00|FORD RESCHEN GARAGE GMBH||VIA KUPERION, 29|MERANO|BZ|39012|00100390210|1|01|N||
FORST|FORST|00|BRAUEREI FORST AG|KOSTENSTELLE 701|VINSCHGAUERSTRASSE, 8|ALGUND|BZ|39022|00100500214||01|N||
FORSTE01|FORST02|00|RESTAURANT FORSTERBRAU||MARIA HILFSTR. 17|LANA|BZ|39011|00100500214||01|N||
FORSTE02|FORSTE02|00|HOTEL MONDSCHEIN KG|DES GEORG EGGER & CO.|GAMPENSTRASSE, 6|LANA|BZ|39011|01624340210||01|N||
FRANKE01|FRANKE01|00|FACHSCH. FUR HAUSWIRTSCHAFT UND|ERNAHRUNG HASLACH, NEUMARKT UND|TISENS MIT SITZ IN BOZEN|NIKOLETTI PLATZ, 14 BOZEN|BZ|39100|02942740214||01|N||
FRANKENB|FRANKE01|00|FACHSCHULE HAUSWIRTSCHAFT ERNAHRUNG|HASLACH,NEUMARKT U.TISENS SITZ BZ|ANGELA NIKOLETTI PLATZ 14|BOZEN|BZ|39100|02942740214||01|N||
FRANZISK|FRANZISK|00|PENSIONE FRANZISKA|CUCINELLA VITO|VIA FLUGGI, 1|MERANO|BZ|39012|01490600218|1|01|N||
FREIZE04|FREIZE04|00|FREIZEITVEREIN|FRANZ TAPPEINER|ROSSINISTRASSE, 5|MERAN|BZ|39012|91028400215||01|N||
GALLUS|GALLUS|00|PENS. GALLUS|STIEGER IN PRIETH EDITH|SEILBAHNWEG, 25|LATSCH|BZ|39021|01182430213||01|N||
GAMPER01|GAMPER01|00|GAMPER HELMUTH & CO.OHG||ENNEWASSER,10|MARTELL|BZ|39020|01611070218||01|N||
GAMPERHE|GAMPERHE|00|KANONIKUS MICHAEL GAMPER|WERK SCHULERHEIM|ERZHERZOG JOHANN|K.WOLFSTR.81 MERAN|BZ|39012|00631520210||01|N|00200|
GAMPERJO|GAMPERJO|00|GAMPER JOSEF||GOFLAN, 36|SCHLANDERS|BZ|39028|00079950218||01|N||
GAPP01|GAPP01|00|KONDITOREI GAPP HUGO||BAHNHOFSTRASSE, 7|LATSCH|BZ|39021|01127110219||01|N||
GEMEIN06|GEMEIN06|00|GEMEINDE WOLKENSTEIN|IN GRODEN|ST. NIVES, 1|WOLKENSTEIN|BZ|39048|00411710213||01|N||
GEMEIN07|GEMEIN07|00|COMUNE MARLENGO||P.ZZA CHIESA, 1|MARLENGO|BZ|39020|00232380212|1|01|N||
GEMEIN08|GEMEIN08|00|MARKTGEMEINDE NEUMARKT||RATHAUSRING, 7|NEUMARKT|BZ|39044|80010250217||01|N||
GEMEIN11|GEMEIN11|00|GEMEINDE BURGSTALL|ZWECKS PFARRFEST|DORFPLATZ, 1|BURGSTALL|BZ|39014|01279760217||01|N||
GEMEIN16|GEMEIN16|00|GEMEINDE MERAN|OKONOMAT|LAUBEN, 192|MERAN|BZ|39012|00394920219|1||N|01650|
GEMEINSC|GEMEINSC|00|GEMEINSCHAFT ZUR|FORDERUNG DER VEREINE|PLATT|PFELDERS|BZ|39010|01469850216||01|N||
GENEVA|GENEVA|00|FRUCHTHOF GENEVA|DER VALORZ JUTTA KG|MEINHARDSTRASSE, 54|MERAN|BZ|39012|01471760213||01|N||
GEORGENH|GEORGENH|00|PENSION GEORGENHOHE|MARGESIN HERMANN|ST. GEORGENSTRASSE, 12|LANA / VOLLAN|BZ|39011|00423810217||01|N||
GEPCO|GEPCO|00|GEPCO-SALC SPA||VIA LATTUADA,20|MILANO|MI|20135|11069890157|1|01|N||
GIETL|GIETL|00|GIETL JOSEF ALOIS|OBERSCHOLHOF|MOLTEN|VILPIAN|BZ|39018|01128780218||01|N||
GILF|GILF|00|CAFE RESTAURANT GILF|CSORBA A. & PORUBSZKI G. OHG|WINTERPROMENADE, 51|MERAN|BZ|39012|02507380216||01|N||
GLOBAL|GLOBAL|00|GLOBAL GMBH|UNTERKASATSCH|PRISSIAN, 118|TISENS|BZ||02302590217||01|N||
GLOGGLHO|GLOGGLHO|00|BUSCHENSCHANK GLOGGLHOF|ROTTENSTEINER ANNA WALZL|RAFFEINGASSE, 8|LANA|BZ|39011|00489140210||01|N||
GOGELE|GOGELE|00|ANDREAS GOGELE|BAU U.KUNSTSCHLOSSEREI|SCHENNASTR, 48/B|SCHENNA|BZ|39017|01488270214|T|01|N||
GOLDENET|GOLDENET|00|GASTHAUS GOLDENE TRAUBE|LANA CATERING KG|J. V. PAYERSTRASSE, 2|TRAMIN|BZ|39040|02260380213||01|N|00500|
GOTSCH01|GOTSCH01|00|SUPERMARKET GOTSCH|IRENE GOTSCH & CO. KG|VINSCHGAUERSTRASSE, 21|GOLDRAIN/LATSCH|BZ|39021|01186240212||01|N||
GRUBERRO|GRUBERRO|00|GRUBER ROMAN|LEBENSMITTEL|SULDEN, 43|SULDEN|BZ|39029|01301410211||01|N||
GRUNDS01|GRUNDS01|00|GRUNDSCHULDIREKTION|MERAN I|O.V.WOLKENSTEINSCHULE 4 KL.|30.APRILSTR.23 MERAN|BZ|39012|||01|N||
GRUNDS02|GRUNDS02|00|GRUNDSCHULE SIEBENEICH|SCHULSPRENGEL TERLAN|HAUPTSTRASSE, 7|TERLAN|BZ|39018|94077010216||01|N||
GRUPPOAN|GRUPPOAN|00|GRUPPO ANZIANI|C.C.RS.  S.GIUSTO|P.ZZA V.VENETO|SINIGO-MERANO|BZ|39010|01384030217||01|N||
GRUPPOSP|GRUPPOSP|00|GRUPPO SPORTIVO|INCONTRO|P.ZZA V. VENETO, 9|SINIGO MERANO|BZ|39010|91011240214|1|01|N||
GS|GS|00|DIREKTION GS ALGUND|FUR GS DORF TIROL|STEINACHSTRASSE, 22|ALGUND|BZ|39022|82005770217||01|N||
GUARDIA|GUARDIA|00|GUARDIA DI FINANZA||VIA ROSSINI, 6|MERANO|BZ|39012|80012750222|1|01|N||
GUFLERMA|GUFLERMA|00|GUFLER MARIA|GESCHAFT|FRAKTION SALTAUS, 5|SALTAUS|BZ|39010|01333040218||01|N||
HABERLE|HABERLE|00|HABERLE GABRIELE|LEBENSMITTEL|HIRZERSTRASSE,22|LANA|BZ|39011|00734610215||01|N||
HAFLING|HAFLING|00|HOTEL HAFLING|SCHRAFFL MARIA|KATZENSTEINSTRASSE, 3|MERAN|BZ|39012|00246800213||01|N||
HAFNER01|HAFNER01|00|HAFNER FRANZ & CO. OHG|OBST U. GEMUSEHANDEL|GAMPENSTRASSE, 12|LANA|BZ|39011|00858490212||01|N||
HANDELSK|KAISERHO|00|HANDELSKAMMER BOZEN|KOCHSHOW 23. APRIL 2022|SUDTIROLERSTR, 60|BOZEN|BZ|39100|00376420212||01|N||
